FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
111,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
112,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
113,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
114,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
115,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
116,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
117,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
118,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
119,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
120,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
121,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
122,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
123,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
124,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
125,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
126,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
127,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
128,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
129,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
130,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
131,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
132,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
133,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
134,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
135,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
136,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
137,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
138,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
139,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
140,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
141,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
142,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
143,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
144,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
145,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
146,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
147,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
148,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
149,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
150,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
151,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
152,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
153,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
154,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
155,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
156,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
157,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
158,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
159,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
160,,,6123.547647058824,,VAFB SLC 4E,,,,,,,,,,-120.610829,34.632093
161,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
162,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
163,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
164,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
165,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
166,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
167,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
168,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
169,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
170,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
171,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
172,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
173,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
174,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
175,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
176,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
177,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
178,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
179,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
180,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
181,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
182,,,6123.547647058824,,KSC LC 39A,,,,,,,,,,-80.6039558,28.6080585
183,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
184,,,6123.547647058824,,CCSFS SLC 40,,,,,,,,,,-80.577366,28.5618571
